id	rate
ALB	0
DZA	1
AGO	1
ARG	0
ARM	1
AUS	0
AUT	0
AZE	1
BGD	1
BLR	1
BEL	0
BEN	1
BWA	0
BRA	1
BGR	0
BFA	1
BDI	1
KHM	1
CMR	1
CAN	0
TCD	1
CHL	0
CHN	1
COL	1
CRI	0
HRV	0
CYP	0
DNK	0
ECU	0
SLV	1
EST	0
ETH	1
FIN	0
FRA	0
GAB	1
GEO	1
DEU	0
GHA	0
GRC	1
GTM	1
GIN	1
HUN	0
IND	1
IDN	0
IRQ	1
IRL	0
ISR	1
ITA	0
JPN	0
KAZ	1
KEN	1
KWT	0
LVA	0
LBN	1
LSO	1
LBR	1
LTU	0
MDG	0
MWI	0
MYS	0
MLI	1
MRT	1
MNG	0
MAR	1
MOZ	1
NAM	0
NPL	1
NLD	0
NZL	0
NER	1
NOR	0
PAK	1
PAN	0
PRY	1
PER	1
PHL	1
POL	0
PRT	0
QAT	0
ROU	0
RWA	1
SAU	1
SEN	0
SLE	0
SVN	0
ZAF	1
ESP	0
LKA	1
SWE	0
CHE	0
TJK	1
THA	1
TGO	0
TTO	1
TUN	1
TUR	1
UGA	1
UKR	1
ARE	0
GBR	0
URY	0
ZMB	0
